570,1414,4
570,3007,5
570,4115,6
584,3547,7
862,1461,2
862,3138,3
862,4268,3
1398,3892,4
1401,2663,4
1414,3007,4
1414,4115,4
1461,3138,4
1461,4268,3
1714,4675,3
1874,2941,2
1874,3776,2
1874,4784,3
1874,5017,2
2941,4784,2
2983,3848,3
3007,4115,5
3138,4268,4
3776,4784,1
3776,5017,1
5160,5372,5
