3	10	2
3	13	2
3	19	3
3	22	5
3	26	2
3	27	2
3	39	2
3	40	1
3	52	4
3	56	2
3	60	4
3	67	2
3	73	1
3	74	1
3	77	3
3	84	4
10	13	2
10	22	4
10	26	1
10	67	1
10	77	2
10	84	6
13	22	6
13	26	3
13	27	1
13	33	2
13	35	2
13	39	1
13	48	1
13	52	4
13	60	3
13	74	3
13	77	1
13	84	12
19	22	7
19	26	5
19	27	6
19	39	6
19	52	8
19	56	4
19	67	1
19	74	5
19	77	6
19	84	3
22	26	8
22	27	12
22	35	4
22	39	9
22	52	14
22	56	5
22	60	9
22	62	1
22	67	4
22	73	1
22	74	13
22	77	8
22	84	14
26	27	7
26	33	1
26	39	12
26	40	1
26	52	11
26	56	7
26	60	2
26	67	1
26	74	8
26	77	10
26	84	7
27	35	1
27	39	13
27	52	9
27	56	5
27	62	1
27	67	1
27	74	10
27	77	9
27	84	4
33	52	1
33	60	1
33	67	1
33	73	1
33	84	4
35	39	1
35	60	3
35	67	1
35	84	2
39	40	1
39	48	3
39	52	8
39	56	5
39	60	1
39	62	1
39	67	1
39	74	9
39	77	10
39	84	8
40	52	1
40	56	1
40	60	3
40	67	1
40	73	1
40	77	1
40	84	5
48	74	1
48	84	2
52	56	7
52	60	3
52	67	3
52	74	8
52	77	9
52	84	9
56	60	1
56	67	1
56	74	5
56	77	10
56	84	2
60	67	3
60	74	2
60	77	2
60	84	19
62	84	2
67	77	2
67	84	2
73	84	14
74	77	7
74	84	7
77	84	5
